,perPrice,room,hall,restroom,houseSize,elevator,decorate,houseAge,SingelHouse,cAa,东,东北,东南,东西,北,南,南北,西,西北,西南
242,6633 ,3,2,2,2,1,0,2,1,2.3,0,0,0,0,0,1,0,0,0,0
243,13600 ,4,2,2,3,1,1,1,1,3.7,0,0,0,0,1,0,0,0,0,0
244,4280 ,3,2,3,3,0,2,1,0,1.7,0,0,0,0,0,0,1,0,0,0
245,7436 ,1,1,1,1,1,1,1,0,1.8,0,0,0,0,0,1,0,0,0,0
246,13762 ,3,2,2,3,1,1,1,0,3.6,0,0,0,0,0,1,0,0,0,0
247,10795 ,3,2,1,2,1,0,1,0,2.3,0,0,0,0,0,0,1,0,0,0
248,5155 ,3,2,2,2,1,1,2,1,2.2,0,0,0,0,0,1,0,0,0,0
249,7727 ,3,2,2,3,0,1,2,0,2.4,0,0,0,0,0,1,0,0,0,0
250,5641 ,2,1,1,2,0,0,2,0,2.3,0,0,0,0,0,1,0,0,0,0
251,9785 ,3,2,2,2,1,0,1,0,2.6,0,0,0,0,0,1,0,0,0,0
252,9794 ,3,2,2,2,1,1,2,1,2.6,0,0,0,0,0,1,0,0,0,0
253,10720 ,5,2,5,5,0,1,0,0,2.9,0,0,0,0,0,1,0,0,0,0
254,6356 ,3,2,2,3,1,1,0,0,1.8,0,0,0,0,0,0,1,0,0,0
255,3982 ,3,2,1,3,0,1,1,0,1.4,0,0,0,0,0,0,1,0,0,0
256,5091 ,3,2,1,3,0,1,2,1,1.5,0,0,0,0,0,0,1,0,0,0
257,5430 ,3,2,2,4,0,1,2,0,2.2,0,0,0,0,0,1,0,0,0,0
258,4500 ,3,2,2,3,0,1,2,1,1.7,0,0,0,0,0,1,0,0,0,0
259,5000 ,2,2,1,2,0,1,2,1,2.0,0,0,0,0,0,1,0,0,0,0
260,4000 ,3,2,2,2,1,0,0,1,2.5,0,0,0,0,0,0,1,0,0,0
261,9889 ,3,2,1,2,1,0,1,0,2.6,0,0,0,0,0,1,0,0,0,0
262,6271 ,3,2,2,2,1,2,2,1,2.8,0,0,0,0,0,1,0,0,0,0
263,5415 ,3,2,2,2,0,1,2,1,2.2,0,0,0,0,0,1,0,0,0,0
264,5114 ,3,2,1,2,0,1,2,1,2.4,0,0,0,0,0,1,0,0,0,0
265,12903 ,4,2,2,3,1,1,1,0,3.6,0,0,0,0,1,0,0,0,0,0
266,12542 ,3,2,2,2,1,0,1,1,3.3,0,0,0,0,0,1,0,0,0,0
267,9109 ,3,2,2,3,1,1,0,0,2.4,0,0,0,0,0,1,0,0,0,0
268,10510 ,3,2,2,2,1,2,1,1,2.4,0,0,0,0,0,1,0,0,0,0
269,5859 ,4,2,3,3,0,1,2,1,1.8,0,0,0,0,0,1,0,0,0,0
270,13836 ,2,2,1,2,1,2,1,0,3.0,0,0,0,0,0,0,1,0,0,0
271,11340 ,2,2,1,2,1,0,0,0,3.5,1,0,0,0,0,0,0,0,0,0
272,12984 ,4,2,2,3,1,0,1,0,3.7,0,0,0,0,0,0,1,0,0,0
273,11754 ,3,2,2,2,1,1,1,1,4.2,0,0,0,0,0,1,0,0,0,0
274,15082 ,3,2,2,2,1,2,1,1,3.1,0,0,0,0,0,0,1,0,0,0
275,5455 ,3,2,2,2,1,0,1,1,1.1,0,0,0,0,0,0,1,0,0,0
276,12255 ,3,2,2,3,1,1,1,0,2.8,0,0,0,0,0,1,0,0,0,0
